ds;y
02/05/2024;0.0
03/05/2024;126.0
04/05/2024;314.0
05/05/2024;0.0
06/05/2024;0.0
07/05/2024;192.0
08/05/2024;64.0
09/05/2024;119.0
10/05/2024;164.0
11/05/2024;472.0
12/05/2024;0.0
13/05/2024;0.0
14/05/2024;33.0
15/05/2024;89.0
16/05/2024;250.0
17/05/2024;58.0
18/05/2024;566.0
19/05/2024;0.0
20/05/2024;0.0
21/05/2024;59.0
22/05/2024;74.0
23/05/2024;62.0
24/05/2024;205.0
25/05/2024;432.0
26/05/2024;0.0
27/05/2024;0.0
28/05/2024;144.0
29/05/2024;117.0
30/05/2024;69.0
31/05/2024;348.0
01/06/2024;0.0
02/06/2024;0.0
03/06/2024;0.0
04/06/2024;134.0
05/06/2024;99.0
06/06/2024;63.0
07/06/2024;250.0
08/06/2024;411.0
09/06/2024;0.0
10/06/2024;0.0
11/06/2024;111.0
12/06/2024;180.0
13/06/2024;54.0
14/06/2024;104.0
15/06/2024;438.0
16/06/2024;0.0
17/06/2024;24.0
18/06/2024;102.0
19/06/2024;133.0
20/06/2024;90.0
21/06/2024;389.0
22/06/2024;161.0
23/06/2024;0.0
24/06/2024;0.0
25/06/2024;0.0
26/06/2024;74.0
27/06/2024;24.0
28/06/2024;456.0
29/06/2024;212.0
30/06/2024;0.0
01/07/2024;0.0
02/07/2024;0.0
03/07/2024;136.0
04/07/2024;33.0
05/07/2024;502.0
06/07/2024;213.0
07/07/2024;0.0
08/07/2024;0.0
09/07/2024;115.0
10/07/2024;111.0
11/07/2024;78.0
12/07/2024;408.0
13/07/2024;209.0
14/07/2024;0.0
15/07/2024;0.0
16/07/2024;150.0
17/07/2024;129.0
18/07/2024;72.0
19/07/2024;323.0
20/07/2024;199.0
21/07/2024;0.0
22/07/2024;0.0
23/07/2024;103.0
24/07/2024;127.0
25/07/2024;45.0
26/07/2024;198.0
27/07/2024;447.0
28/07/2024;0.0
29/07/2024;0.0
30/07/2024;140.0
31/07/2024;85.0
01/08/2024;21.0
02/08/2024;141.0
03/08/2024;278.0
04/08/2024;0.0
05/08/2024;0.0
06/08/2024;0.0
07/08/2024;66.0
08/08/2024;60.0
09/08/2024;433.0
10/08/2024;204.0
11/08/2024;0.0
12/08/2024;0.0
13/08/2024;145.0
14/08/2024;220.0
15/08/2024;87.0
16/08/2024;460.0
17/08/2024;104.0
18/08/2024;0.0
19/08/2024;91.0
20/08/2024;51.0
21/08/2024;78.0
22/08/2024;18.0
23/08/2024;368.0
24/08/2024;140.0
25/08/2024;0.0
26/08/2024;0.0
27/08/2024;124.0
28/08/2024;125.0
29/08/2024;82.0
30/08/2024;401.0
31/08/2024;133.0
01/09/2024;0.0
02/09/2024;0.0
03/09/2024;111.0
04/09/2024;102.0
05/09/2024;72.0
06/09/2024;123.0
07/09/2024;402.0
08/09/2024;0.0
09/09/2024;0.0
10/09/2024;117.0
11/09/2024;102.0
12/09/2024;40.0
13/09/2024;261.0
14/09/2024;445.0
