ds;y
01/05/2024;161.0
02/05/2024;0.0
03/05/2024;124.0
04/05/2024;696.0
05/05/2024;0.0
06/05/2024;0.0
07/05/2024;115.0
08/05/2024;97.0
09/05/2024;220.0
10/05/2024;254.0
11/05/2024;592.0
12/05/2024;0.0
13/05/2024;0.0
14/05/2024;56.0
15/05/2024;192.0
16/05/2024;313.0
17/05/2024;131.0
18/05/2024;1344.0
19/05/2024;0.0
20/05/2024;0.0
21/05/2024;64.0
22/05/2024;236.0
23/05/2024;60.0
24/05/2024;341.0
25/05/2024;1668.0
26/05/2024;0.0
27/05/2024;0.0
28/05/2024;1287.0
29/05/2024;625.0
30/05/2024;202.0
31/05/2024;1749.0
01/06/2024;0.0
02/06/2024;0.0
03/06/2024;0.0
04/06/2024;120.0
05/06/2024;415.0
06/06/2024;95.0
07/06/2024;685.0
08/06/2024;1173.0
09/06/2024;0.0
10/06/2024;0.0
11/06/2024;290.0
12/06/2024;1323.0
13/06/2024;4692.0
14/06/2024;4801.0
15/06/2024;5118.0
16/06/2024;0.0
17/06/2024;0.0
18/06/2024;2149.0
19/06/2024;396.0
20/06/2024;287.0
21/06/2024;6917.0
22/06/2024;1.0
23/06/2024;0.0
24/06/2024;0.0
25/06/2024;5.0
26/06/2024;266.0
27/06/2024;1826.0
28/06/2024;3822.0
29/06/2024;1296.0
30/06/2024;0.0
01/07/2024;0.0
02/07/2024;0.0
03/07/2024;307.0
04/07/2024;81.0
05/07/2024;766.0
06/07/2024;302.0
07/07/2024;0.0
08/07/2024;0.0
09/07/2024;157.0
10/07/2024;63.0
11/07/2024;127.0
12/07/2024;437.0
13/07/2024;174.0
14/07/2024;0.0
15/07/2024;0.0
16/07/2024;51.0
17/07/2024;547.0
18/07/2024;45.0
19/07/2024;260.0
20/07/2024;270.0
21/07/2024;0.0
22/07/2024;0.0
23/07/2024;100.0
24/07/2024;111.0
25/07/2024;59.0
26/07/2024;136.0
27/07/2024;297.0
28/07/2024;0.0
29/07/2024;0.0
30/07/2024;204.0
31/07/2024;182.0
01/08/2024;48.0
02/08/2024;133.0
03/08/2024;284.0
04/08/2024;0.0
05/08/2024;0.0
06/08/2024;0.0
07/08/2024;54.0
08/08/2024;118.0
09/08/2024;452.0
10/08/2024;338.0
11/08/2024;0.0
12/08/2024;0.0
13/08/2024;156.0
14/08/2024;216.0
15/08/2024;47.0
16/08/2024;1038.0
17/08/2024;277.0
18/08/2024;0.0
19/08/2024;86.0
20/08/2024;239.0
21/08/2024;139.0
22/08/2024;83.0
23/08/2024;3166.0
24/08/2024;316.0
25/08/2024;0.0
26/08/2024;0.0
27/08/2024;186.0
28/08/2024;196.0
29/08/2024;94.0
30/08/2024;1128.0
31/08/2024;155.0
01/09/2024;0.0
02/09/2024;0.0
03/09/2024;77.0
04/09/2024;140.0
05/09/2024;179.0
06/09/2024;230.0
07/09/2024;427.0
08/09/2024;0.0
09/09/2024;0.0
10/09/2024;139.0
